1.001068353652954: 128, Recall: 0.022902129182322418
1.0021305084228516: 211, Recall: 0.037752728573984616
2.0031628608703613: 316, Recall: 0.05653963141885847
3.0043630599975586: 316, Recall: 0.05653963141885847
3.0053787231445312: 354, Recall: 0.06333870101986044
4.006377696990967: 397, Recall: 0.07103238504204688
5.007657289505005: 426, Recall: 0.0762211486849168
6.008840560913086: 426, Recall: 0.0762211486849168
6.009854316711426: 436, Recall: 0.07801037752728573
7.010879039764404: 476, Recall: 0.08516729289676149
8.01201605796814: 482, Recall: 0.08624083020218286
9.013229131698608: 482, Recall: 0.08624083020218286
10.014469385147095: 487, Recall: 0.08713544462336732
10.015456438064575: 487, Recall: 0.08713544462336732
11.016454458236694: 503, Recall: 0.08999821077115763
12.017594337463379: 508, Recall: 0.0908928251923421
13.01880955696106: 513, Recall: 0.09178743961352658
14.019988059997559: 518, Recall: 0.09268205403471104
15.021210193634033: 518, Recall: 0.09268205403471104
15.022178649902344: 518, Recall: 0.09268205403471104
16.023140907287598: 519, Recall: 0.09286097691894793
17.024245738983154: 519, Recall: 0.09286097691894793
18.025416135787964: 519, Recall: 0.09286097691894793
19.026625871658325: 519, Recall: 0.09286097691894793
19.02766227722168: 540, Recall: 0.0966183574879227
20.028663873672485: 546, Recall: 0.09769189479334407
21.02972173690796: 547, Recall: 0.09787081767758096
22.030810117721558: 547, Recall: 0.09787081767758096
23.031912326812744: 563, Recall: 0.10073358382537126
24.032992839813232: 575, Recall: 0.102880658436214
26.034369230270386: 588, Recall: 0.10520665593129361
26.035379648208618: 629, Recall: 0.11254249418500627
27.03642249107361: 634, Recall: 0.11343710860619073
28.037517309188843: 659, Recall: 0.11791018071211308
30.03892230987549: 679, Recall: 0.12148863839685095
31.040188789367676: 691, Recall: 0.12363571300769369
32.0413920879364: 702, Recall: 0.12560386473429952
33.042563676834106: 704, Recall: 0.1259617105027733
35.04389691352844: 708, Recall: 0.1266774020397209
36.0450758934021: 726, Recall: 0.12989801395598496
37.04632544517517: 728, Recall: 0.13025585972445874
37.04733395576477: 728, Recall: 0.13025585972445874
38.04828691482544: 728, Recall: 0.13025585972445874
39.04943561553955: 740, Recall: 0.13240293433530148
41.050745725631714: 745, Recall: 0.13329754875648595
42.05190968513489: 767, Recall: 0.1372338522096976
43.05301833152771: 769, Recall: 0.13759169797817142
45.054280519485474: 769, Recall: 0.13759169797817142
46.05546593666077: 778, Recall: 0.13920200393630344
47.05657196044922: 780, Recall: 0.13955984970477725
48.057623624801636: 780, Recall: 0.13955984970477725
49.05877089500427: 780, Recall: 0.13955984970477725
49.05974555015564: 780, Recall: 0.13955984970477725
50.06074500083923: 780, Recall: 0.13955984970477725
51.06195831298828: 780, Recall: 0.13955984970477725
51.06292748451233: 780, Recall: 0.13955984970477725
52.06393766403198: 780, Recall: 0.13955984970477725
52.06488108634949: 780, Recall: 0.13955984970477725
53.06584978103638: 780, Recall: 0.13955984970477725
54.067001819610596: 780, Recall: 0.13955984970477725
54.067965030670166: 780, Recall: 0.13955984970477725
55.06890940666199: 780, Recall: 0.13955984970477725
56.07014012336731: 780, Recall: 0.13955984970477725
56.07110357284546: 780, Recall: 0.13955984970477725
57.07204008102417: 780, Recall: 0.13955984970477725
58.07326316833496: 780, Recall: 0.13955984970477725
59.07450890541077: 780, Recall: 0.13955984970477725
59.07550835609436: 786, Recall: 0.1406333870101986
60.07651352882385: 789, Recall: 0.14117015566290927
61.07761597633362: 789, Recall: 0.14117015566290927
62.078755378723145: 789, Recall: 0.14117015566290927
63.079989194869995: 789, Recall: 0.14117015566290927
63.080960750579834: 789, Recall: 0.14117015566290927
64.08191752433777: 791, Recall: 0.14152800143138308
65.08313989639282: 804, Recall: 0.1438539989264627
66.0843653678894: 804, Recall: 0.1438539989264627
66.0853340625763: 804, Recall: 0.1438539989264627
67.08640694618225: 831, Recall: 0.14868491680085882
67.08741998672485: 831, Recall: 0.14868491680085882
68.08838558197021: 831, Recall: 0.14868491680085882
69.08954763412476: 846, Recall: 0.15136876006441224
69.09052801132202: 846, Recall: 0.15136876006441224
70.09149837493896: 847, Recall: 0.15154768294864912
71.09249591827393: 854, Recall: 0.1528001431383074
72.0936827659607: 867, Recall: 0.155126140633387
73.0949068069458: 876, Recall: 0.15673644659151906
73.09588575363159: 888, Recall: 0.1588835212023618
74.09692192077637: 893, Recall: 0.15977813562354626
74.09788918495178: 893, Recall: 0.15977813562354626
75.09887671470642: 893, Recall: 0.15977813562354626
75.09989500045776: 893, Recall: 0.15977813562354626
76.1009624004364: 893, Recall: 0.15977813562354626
77.10215950012207: 908, Recall: 0.16246197888709965
77.10316634178162: 914, Recall: 0.16353551619252102
78.1042160987854: 917, Recall: 0.1640722848452317
78.10519218444824: 917, Recall: 0.1640722848452317
79.10618448257446: 917, Recall: 0.1640722848452317
79.1071572303772: 917, Recall: 0.1640722848452317
80.10814476013184: 917, Recall: 0.1640722848452317
81.10936570167542: 923, Recall: 0.16514582215065307
81.1103584766388: 929, Recall: 0.16621935945607444
82.11140394210815: 933, Recall: 0.166935050993022
82.11237907409668: 933, Recall: 0.166935050993022
83.1134045124054: 933, Recall: 0.166935050993022
83.11441159248352: 933, Recall: 0.166935050993022
84.1154637336731: 933, Recall: 0.166935050993022
85.11663937568665: 947, Recall: 0.16943997137233852
85.11761951446533: 951, Recall: 0.1701556629092861
86.11873960494995: 951, Recall: 0.1701556629092861
86.11972093582153: 951, Recall: 0.1701556629092861
86.12061309814453: 951, Recall: 0.1701556629092861
87.12152647972107: 951, Recall: 0.1701556629092861
88.12277722358704: 952, Recall: 0.17033458579352298
88.123774766922: 958, Recall: 0.17140812309894435
89.12476229667664: 967, Recall: 0.1730184290570764
90.12596440315247: 971, Recall: 0.173734120594024
90.12692785263062: 971, Recall: 0.173734120594024
91.12802314758301: 971, Recall: 0.173734120594024
91.12902665138245: 971, Recall: 0.173734120594024
92.13008832931519: 971, Recall: 0.173734120594024
93.1313247680664: 972, Recall: 0.17391304347826086
93.13230013847351: 989, Recall: 0.17695473251028807
94.13333296775818: 991, Recall: 0.17731257827876185
95.13454294204712: 993, Recall: 0.17767042404723565
95.13553309440613: 993, Recall: 0.17767042404723565
96.1366617679596: 993, Recall: 0.17767042404723565
96.13763809204102: 993, Recall: 0.17767042404723565
97.13867664337158: 993, Recall: 0.17767042404723565
98.13990449905396: 1032, Recall: 0.1846484165324745
99.1411075592041: 1080, Recall: 0.1932367149758454
99.14206027984619: 1107, Recall: 0.19806763285024154
100.14300346374512: 1113, Recall: 0.1991411701556629
102.14431619644165: 1121, Recall: 0.20057255322955805
103.14545559883118: 1123, Recall: 0.20093039899803186
105.14669513702393: 1134, Recall: 0.2028985507246377
106.14779090881348: 1139, Recall: 0.20379316514582216
107.1488995552063: 1139, Recall: 0.20379316514582216
109.15018486976624: 1146, Recall: 0.2050456253354804
110.15131306648254: 1155, Recall: 0.20665593129361245
111.15238523483276: 1210, Recall: 0.21649668992664162
113.15370178222656: 1245, Recall: 0.2227589908749329
115.15504860877991: 1248, Recall: 0.22329575952764358
117.15641522407532: 1258, Recall: 0.22508498837001253
119.15776300430298: 1260, Recall: 0.22544283413848631
121.15909790992737: 1283, Recall: 0.22955806047593488
122.16030812263489: 1289, Recall: 0.23063159778135622
122.16125273704529: 1289, Recall: 0.23063159778135622
123.16222643852234: 1289, Recall: 0.23063159778135622
124.16344022750854: 1289, Recall: 0.23063159778135622
124.16438031196594: 1289, Recall: 0.23063159778135622
125.16536116600037: 1314, Recall: 0.23510466988727857
126.16636800765991: 1331, Recall: 0.23814635891930577
127.1674964427948: 1342, Recall: 0.2401145106459116
129.16880631446838: 1351, Recall: 0.24172481660404366
130.16994786262512: 1362, Recall: 0.2436929683306495
132.17129135131836: 1364, Recall: 0.24405081409912327
133.1724374294281: 1371, Recall: 0.24530327428878154
135.17382144927979: 1372, Recall: 0.24548219717301842
136.17500925064087: 1372, Recall: 0.24548219717301842
137.17625617980957: 1405, Recall: 0.2513866523528359
138.17744612693787: 1423, Recall: 0.2546072642691
139.1786389350891: 1428, Recall: 0.2555018786902845
140.17978358268738: 1447, Recall: 0.2589014134907855
141.1808352470398: 1447, Recall: 0.2589014134907855
142.18199181556702: 1447, Recall: 0.2589014134907855
