1.0016536712646484: 800, Recall: 0.2
2.003066062927246: 800, Recall: 0.2
4.004583358764648: 801, Recall: 0.20025
5.005975246429443: 801, Recall: 0.20025
6.007250785827637: 801, Recall: 0.20025
7.008562326431274: 801, Recall: 0.20025
8.00989317893982: 801, Recall: 0.20025
9.011198282241821: 801, Recall: 0.20025
11.01304316520691: 1338, Recall: 0.3345
12.014997482299805: 1861, Recall: 0.46525
12.016823530197144: 2397, Recall: 0.59925
14.018309354782104: 2401, Recall: 0.60025
15.019970417022705: 2401, Recall: 0.60025
15.021247386932373: 2401, Recall: 0.60025
17.02272629737854: 2401, Recall: 0.60025
17.024031162261963: 2401, Recall: 0.60025
18.0254487991333: 2402, Recall: 0.6005
20.02696657180786: 2402, Recall: 0.6005
21.02852487564087: 2402, Recall: 0.6005
21.02975034713745: 2402, Recall: 0.6005
23.031251430511475: 2402, Recall: 0.6005
24.032779455184937: 2402, Recall: 0.6005
25.034091472625732: 2402, Recall: 0.6005
27.035634756088257: 2402, Recall: 0.6005
27.036781072616577: 2402, Recall: 0.6005
28.03816056251526: 2402, Recall: 0.6005
30.039705514907837: 2402, Recall: 0.6005
31.041088104248047: 2402, Recall: 0.6005
32.04239892959595: 2402, Recall: 0.6005
33.04400134086609: 2402, Recall: 0.6005
34.04535126686096: 2402, Recall: 0.6005
35.046743631362915: 2402, Recall: 0.6005
37.048293352127075: 2402, Recall: 0.6005
38.04965376853943: 2402, Recall: 0.6005
38.050809144973755: 2402, Recall: 0.6005
40.0523567199707: 2402, Recall: 0.6005
41.05390453338623: 2402, Recall: 0.6005
42.05559587478638: 2402, Recall: 0.6005
43.0572030544281: 2402, Recall: 0.6005
44.05876159667969: 2402, Recall: 0.6005
45.06035494804382: 2402, Recall: 0.6005
46.06175994873047: 2402, Recall: 0.6005
48.06353998184204: 2402, Recall: 0.6005
48.064932346343994: 2402, Recall: 0.6005
50.06657838821411: 2402, Recall: 0.6005
51.06810998916626: 2402, Recall: 0.6005
52.069443225860596: 2402, Recall: 0.6005
53.070833921432495: 2402, Recall: 0.6005
54.072370290756226: 2402, Recall: 0.6005
55.073795318603516: 2402, Recall: 0.6005
56.075175762176514: 2402, Recall: 0.6005
57.07653212547302: 2402, Recall: 0.6005
59.078025102615356: 2402, Recall: 0.6005
59.079253911972046: 2402, Recall: 0.6005
61.08075761795044: 2402, Recall: 0.6005
62.082205295562744: 2402, Recall: 0.6005
63.08362865447998: 2402, Recall: 0.6005
64.08501505851746: 2402, Recall: 0.6005
65.08640336990356: 2402, Recall: 0.6005
66.08783292770386: 2402, Recall: 0.6005
67.08923721313477: 2402, Recall: 0.6005
68.09068608283997: 2402, Recall: 0.6005
69.09220314025879: 2402, Recall: 0.6005
70.0935914516449: 2402, Recall: 0.6005
71.09530663490295: 2402, Recall: 0.6005
72.096670627594: 2402, Recall: 0.6005
73.09798908233643: 2402, Recall: 0.6005
74.09938931465149: 2402, Recall: 0.6005
75.10079884529114: 2402, Recall: 0.6005
76.10219502449036: 2402, Recall: 0.6005
77.10386323928833: 2402, Recall: 0.6005
78.10528826713562: 2402, Recall: 0.6005
79.1067967414856: 2402, Recall: 0.6005
80.10846972465515: 2402, Recall: 0.6005
81.10991907119751: 2402, Recall: 0.6005
82.11152458190918: 2403, Recall: 0.60075
84.11309266090393: 2403, Recall: 0.60075
85.1144871711731: 2403, Recall: 0.60075
85.11578798294067: 2403, Recall: 0.60075
86.11705279350281: 2403, Recall: 0.60075
87.1184606552124: 2403, Recall: 0.60075
88.11998271942139: 2403, Recall: 0.60075
89.12129139900208: 2403, Recall: 0.60075
90.1227114200592: 2403, Recall: 0.60075
91.12423753738403: 2403, Recall: 0.60075
