1.00144362449646: 799, Recall: 0.0642282958199357
3.0032150745391846: 1596, Recall: 0.1282958199356913
3.0045337677001953: 2396, Recall: 0.19260450160771705
4.005962610244751: 3194, Recall: 0.2567524115755627
4.007268905639648: 3994, Recall: 0.3210610932475884
6.008923053741455: 4715, Recall: 0.3790192926045016
6.00999641418457: 4716, Recall: 0.37909967845659165
7.011160850524902: 4716, Recall: 0.37909967845659165
7.012158393859863: 4716, Recall: 0.37909967845659165
8.013176441192627: 4716, Recall: 0.37909967845659165
8.014185905456543: 4716, Recall: 0.37909967845659165
9.01516318321228: 4716, Recall: 0.37909967845659165
10.016435146331787: 4716, Recall: 0.37909967845659165
11.017638683319092: 4716, Recall: 0.37909967845659165
11.01867413520813: 4716, Recall: 0.37909967845659165
12.019648551940918: 4716, Recall: 0.37909967845659165
13.020898818969727: 4716, Recall: 0.37909967845659165
13.021881818771362: 4716, Recall: 0.37909967845659165
14.022990703582764: 4716, Recall: 0.37909967845659165
14.023997068405151: 4717, Recall: 0.3791800643086817
15.025021076202393: 4717, Recall: 0.3791800643086817
15.02603554725647: 4718, Recall: 0.3792604501607717
16.027009963989258: 4719, Recall: 0.3793408360128617
17.028213024139404: 4719, Recall: 0.3793408360128617
18.029401779174805: 4719, Recall: 0.3793408360128617
18.03041172027588: 4719, Recall: 0.3793408360128617
19.031557321548462: 4719, Recall: 0.3793408360128617
20.032790422439575: 4719, Recall: 0.3793408360128617
20.033773183822632: 4719, Recall: 0.3793408360128617
21.034851789474487: 4719, Recall: 0.3793408360128617
21.035827159881592: 4719, Recall: 0.3793408360128617
22.036911487579346: 4719, Recall: 0.3793408360128617
23.03813338279724: 4719, Recall: 0.3793408360128617
24.039357900619507: 4719, Recall: 0.3793408360128617
24.04037642478943: 4719, Recall: 0.3793408360128617
25.041455030441284: 4719, Recall: 0.3793408360128617
26.042609453201294: 4719, Recall: 0.3793408360128617
26.043633937835693: 4719, Recall: 0.3793408360128617
27.044597387313843: 4719, Recall: 0.3793408360128617
28.045783281326294: 4719, Recall: 0.3793408360128617
28.046767950057983: 4719, Recall: 0.3793408360128617
29.04779052734375: 4719, Recall: 0.3793408360128617
30.04892587661743: 4719, Recall: 0.3793408360128617
31.05021357536316: 4719, Recall: 0.3793408360128617
31.05120611190796: 4719, Recall: 0.3793408360128617
32.05231165885925: 4719, Recall: 0.3793408360128617
32.053330183029175: 4719, Recall: 0.3793408360128617
33.05429697036743: 4719, Recall: 0.3793408360128617
34.05540990829468: 4719, Recall: 0.3793408360128617
35.056678771972656: 4719, Recall: 0.3793408360128617
35.057724952697754: 4719, Recall: 0.3793408360128617
36.05881428718567: 4719, Recall: 0.3793408360128617
36.059815406799316: 4719, Recall: 0.3793408360128617
37.06079888343811: 4719, Recall: 0.3793408360128617
38.06199836730957: 4919, Recall: 0.39541800643086816
39.06326627731323: 4935, Recall: 0.3967041800643087
39.064244985580444: 4935, Recall: 0.3967041800643087
40.06531620025635: 4935, Recall: 0.3967041800643087
40.06631016731262: 4935, Recall: 0.3967041800643087
41.06729340553284: 4935, Recall: 0.3967041800643087
41.068278074264526: 4935, Recall: 0.3967041800643087
42.06931471824646: 4935, Recall: 0.3967041800643087
43.070547103881836: 4935, Recall: 0.3967041800643087
43.0715217590332: 4935, Recall: 0.3967041800643087
44.07257604598999: 4935, Recall: 0.3967041800643087
44.073588848114014: 4935, Recall: 0.3967041800643087
45.07461857795715: 4935, Recall: 0.3967041800643087
45.07560324668884: 4935, Recall: 0.3967041800643087
46.07658863067627: 4935, Recall: 0.3967041800643087
47.077760219573975: 4935, Recall: 0.3967041800643087
47.07872462272644: 4935, Recall: 0.3967041800643087
48.07981777191162: 4935, Recall: 0.3967041800643087
48.08079385757446: 4935, Recall: 0.3967041800643087
49.0818407535553: 4935, Recall: 0.3967041800643087
50.08311867713928: 4935, Recall: 0.3967041800643087
50.08411955833435: 4935, Recall: 0.3967041800643087
50.085025787353516: 4935, Recall: 0.3967041800643087
51.08614635467529: 4935, Recall: 0.3967041800643087
52.087435245513916: 4935, Recall: 0.3967041800643087
52.08842134475708: 4935, Recall: 0.3967041800643087
53.089513301849365: 4935, Recall: 0.3967041800643087
54.090625286102295: 4935, Recall: 0.3967041800643087
55.09183979034424: 4935, Recall: 0.3967041800643087
55.092817544937134: 4935, Recall: 0.3967041800643087
56.093915939331055: 4935, Recall: 0.3967041800643087
57.09519338607788: 4935, Recall: 0.3967041800643087
57.09618854522705: 4935, Recall: 0.3967041800643087
58.09726047515869: 4935, Recall: 0.3967041800643087
58.098233461380005: 4935, Recall: 0.3967041800643087
59.09919023513794: 4935, Recall: 0.3967041800643087
60.10026931762695: 4935, Recall: 0.3967041800643087
60.10124635696411: 4935, Recall: 0.3967041800643087
61.10216283798218: 4935, Recall: 0.3967041800643087
62.10336875915527: 4935, Recall: 0.3967041800643087
62.104344606399536: 4935, Recall: 0.3967041800643087
63.105342388153076: 4935, Recall: 0.3967041800643087
64.10641431808472: 4935, Recall: 0.3967041800643087
64.1073648929596: 4935, Recall: 0.3967041800643087
65.10847687721252: 4935, Recall: 0.3967041800643087
65.10950064659119: 4935, Recall: 0.3967041800643087
66.11057877540588: 4935, Recall: 0.3967041800643087
66.11156463623047: 4935, Recall: 0.3967041800643087
67.11265087127686: 4935, Recall: 0.3967041800643087
67.11363172531128: 4935, Recall: 0.3967041800643087
68.11468148231506: 4935, Recall: 0.3967041800643087
69.11590671539307: 4935, Recall: 0.3967041800643087
69.11689949035645: 4935, Recall: 0.3967041800643087
70.11800217628479: 4935, Recall: 0.3967041800643087
72.11937046051025: 4935, Recall: 0.3967041800643087
73.12053108215332: 4935, Recall: 0.3967041800643087
73.12152767181396: 4935, Recall: 0.3967041800643087
73.12245607376099: 4935, Recall: 0.3967041800643087
74.1233766078949: 4935, Recall: 0.3967041800643087
75.1245710849762: 4935, Recall: 0.3967041800643087
75.12557172775269: 4935, Recall: 0.3967041800643087
76.12665057182312: 4935, Recall: 0.3967041800643087
76.12762379646301: 4935, Recall: 0.3967041800643087
77.12859010696411: 4935, Recall: 0.3967041800643087
78.12983870506287: 4935, Recall: 0.3967041800643087
