2.0016047954559326: 799, Recall: 0.19975
2.002723217010498: 799, Recall: 0.19975
3.0039312839508057: 799, Recall: 0.19975
4.005197525024414: 799, Recall: 0.19975
5.006466388702393: 799, Recall: 0.19975
5.007511138916016: 799, Recall: 0.19975
6.0087151527404785: 799, Recall: 0.19975
7.009982109069824: 799, Recall: 0.19975
8.011518001556396: 1336, Recall: 0.334
8.012786149978638: 1876, Recall: 0.469
9.014185428619385: 2398, Recall: 0.5995
10.01549482345581: 2398, Recall: 0.5995
10.016559362411499: 2398, Recall: 0.5995
11.017697811126709: 2398, Recall: 0.5995
12.018983125686646: 2398, Recall: 0.5995
13.020249605178833: 2398, Recall: 0.5995
14.021563053131104: 2398, Recall: 0.5995
14.022606134414673: 2399, Recall: 0.59975
15.023844718933105: 2399, Recall: 0.59975
16.025146484375: 2399, Recall: 0.59975
17.02645444869995: 2399, Recall: 0.59975
17.027520179748535: 2399, Recall: 0.59975
18.028722524642944: 2399, Recall: 0.59975
19.029992818832397: 2399, Recall: 0.59975
19.031039237976074: 2399, Recall: 0.59975
20.032180309295654: 2399, Recall: 0.59975
21.033459901809692: 2399, Recall: 0.59975
21.034510135650635: 2399, Recall: 0.59975
22.03567385673523: 2399, Recall: 0.59975
23.036970615386963: 2399, Recall: 0.59975
23.03802227973938: 2399, Recall: 0.59975
25.039413452148438: 2399, Recall: 0.59975
25.040440797805786: 2399, Recall: 0.59975
26.04163885116577: 2399, Recall: 0.59975
27.04293990135193: 2399, Recall: 0.59975
27.04399609565735: 2399, Recall: 0.59975
28.045158863067627: 2399, Recall: 0.59975
29.046446084976196: 2399, Recall: 0.59975
30.047715425491333: 2399, Recall: 0.59975
30.048762321472168: 2399, Recall: 0.59975
31.049841165542603: 2399, Recall: 0.59975
31.050893306732178: 2399, Recall: 0.59975
32.05188202857971: 2399, Recall: 0.59975
34.05330491065979: 2399, Recall: 0.59975
34.05434036254883: 2399, Recall: 0.59975
35.0555214881897: 2399, Recall: 0.59975
36.056827545166016: 2399, Recall: 0.59975
36.05787754058838: 2399, Recall: 0.59975
37.05905628204346: 2399, Recall: 0.59975
38.060248374938965: 2399, Recall: 0.59975
38.06129479408264: 2399, Recall: 0.59975
39.062344551086426: 2399, Recall: 0.59975
40.063584089279175: 2399, Recall: 0.59975
41.06485891342163: 2399, Recall: 0.59975
41.0658905506134: 2399, Recall: 0.59975
42.066983461380005: 2399, Recall: 0.59975
43.06827211380005: 2399, Recall: 0.59975
43.06930756568909: 2399, Recall: 0.59975
44.070326805114746: 2399, Recall: 0.59975
45.0715548992157: 2399, Recall: 0.59975
46.07281231880188: 2399, Recall: 0.59975
46.073835372924805: 2399, Recall: 0.59975
47.07496452331543: 2399, Recall: 0.59975
